code,name,reason
sz.159238,景顺长城沪深300增强策略ETF,流动性不足:392万
sz.159240,天弘中证A500增强策略ETF,流动性不足:141万
sz.159245,富国国证港股通消费主题ETF,流动性不足:442万
sz.159271,鹏华恒生ETF,流动性不足:411万
sz.159288,银华创业板综ETF,流动性不足:423万
sz.159289,鹏华创业板综合ETF,流动性不足:148万
sz.159290,创业板综指增强ETF东财,流动性不足:423万
sz.159291,招商创业板综合增强策略ETF,流动性不足:132万
sz.159292,华宝创业板综合增强策略ETF,流动性不足:289万
sz.159295,西部利得创业板综合ETF,流动性不足:390万
sz.159296,华宝中证A500红利低波动ETF,流动性不足:477万
sz.159306,平安中证汽车零部件主题ETF,流动性不足:221万
sz.159311,易方达中证数字经济主题ETF,流动性不足:248万
sz.159318,银华恒指港股通ETF,流动性不足:442万
sz.159328,易方达中证家电龙头ETF,流动性不足:473万
sz.159332,富国中证中央企业红利ETF,流动性不足:218万
sz.159355,华宝中证800红利低波动ETF,流动性不足:309万
sz.159370,工银瑞信创业板50ETF,流动性不足:376万
sz.159372,万家创业板50ETF,流动性不足:442万
sz.159383,华泰柏瑞创业板50ETF,流动性不足:391万
sz.159391,博时国证大盘价值ETF,流动性不足:141万
sz.159505,博时国证2000ETF,流动性不足:423万
sz.159508,华安国证生物医药ETF,流动性不足:440万
sz.159510,华夏中证智选300价值稳健策略ETF,流动性不足:332万
sz.159515,鹏扬中证国有企业红利ETF,流动性不足:286万
sz.159517,银华中证800增强策略ETF,流动性不足:427万
sz.159521,平安国证2000ETF,流动性不足:252万
sz.159528,富国中证国有企业改革ETF,流动性不足:50万
sz.159533,博时中证2000ETF,流动性不足:383万
sz.159543,工银国证2000ETF,流动性不足:496万
sz.159550,互联网ETF沪港深,流动性不足:387万
sz.159553,海富通中证2000增强策略ETF,流动性不足:339万
sz.159556,平安中证2000增强策略ETF,流动性不足:212万
sz.159571,富国创业板200ETF,流动性不足:48万
sz.159575,创业板200ETF银华,流动性不足:288万
sz.159578,南方深证主板50ETF,流动性不足:51万
sz.159617,华夏中证智选500价值稳健策略ETF,流动性不足:177万
sz.159618,华安中证光伏产业ETF,流动性不足:482万
sz.159620,华夏中证智选500成长创新策略ETF,流动性不足:347万
sz.159621,国泰MSCI中国A股ESG通用ETF,流动性不足:254万
sz.159630,汇添富中证A100ETF,流动性不足:50万
sz.159640,工银瑞信中证上海环交所碳中和ETF,流动性不足:240万
sz.159642,大成中证上海环交所碳中和ETF,流动性不足:35万
sz.159645,富国国证疫苗与生物科技ETF,流动性不足:114万
sz.159653,国联安国证ESG300ETF,流动性不足:14万
sz.159657,鹏华国证疫苗与生物科技ETF,流动性不足:191万
sz.159670,国联安中证消费50ETF,流动性不足:350万
sz.159672,博时主要消费ETF,流动性不足:380万
sz.159679,国泰中证1000增强策略ETF,流动性不足:496万
sz.159685,天弘中证1000增强策略ETF,流动性不足:373万
sz.159689,南方中证主要消费ETF,流动性不足:125万
sz.159701,招商中证物联网主题ETF,流动性不足:238万
sz.159706,华安深证100ETF,流动性不足:441万
sz.159709,工银瑞信深证物联网50ETF,流动性不足:101万
sz.159716,华宝深证100ETF,流动性不足:278万
sz.159717,鹏华国证ESG300ETF,流动性不足:271万
sz.159719,平安富时中国国企开放共赢ETF,流动性不足:404万
sz.159720,泰康中证智能电动汽车ETF,流动性不足:130万
sz.159721,永赢深证100ETF,流动性不足:312万
sz.159723,汇添富中证沪港深科技龙头ETF,流动性不足:195万
