code,name,days,start_date,end_date,years,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover
sh.510030,上证180价值ETF,3892,2010-05-28,2026-06-26,15.44,0.07281579496569135,-0.07183908045977017,0.04960668030038784,0.2185569092961215,0.24165694480118918,-0.4094415870683321,0.17784171726927936,5151139.766666667
sh.510050,华夏上证50ETF,4999,2005-11-24,2026-06-26,19.84,0.08326206175534745,0.09203336209375901,0.05278821842188819,0.23343495819833177,0.2710050895701685,-0.7030042918454936,0.11843748711230741,2805094781.8166666
sh.510100,易方达上证50ETF,1627,2019-10-09,2026-06-26,6.46,0.046129904647426834,0.1183333333333334,0.06788292022681297,0.17711552527804011,0.14753028909468832,-0.38009049773755654,0.12136558246525393,424323744.6333333
sh.510150,招商上证消费80ETF,3710,2011-02-25,2026-06-26,14.72,0.03927881980994763,-0.15037593984962405,-0.0797549704222309,0.2577505947204524,0.07479641251984999,-0.5433470387542647,0.07229048289285323,34813853.7
sh.510170,国联安上证商品ETF,3702,2011-01-25,2026-06-26,14.69,0.04777117805006781,0.5300668151447663,0.18200995839564027,0.28391944857417234,0.0978135812447267,-0.6355685131195336,0.07516290858336357,23563590.133333333
sh.510180,华安上证180ETF,4884,2006-05-18,2026-06-26,19.38,0.07728765327665887,0.16019682886823383,0.0741886017259119,0.2399974515289449,0.23870108999782313,-0.7124256792353428,0.10848521541168038,145081232.66666666
sh.510210,上证综指ETF,3654,2011-03-25,2026-06-26,14.5,0.049147030994634244,0.1622678396871946,0.07391573868641821,0.22858824620456805,0.12750887886225787,-0.47122302158273377,0.10429675279777344,570106093.3166667
sh.510230,国泰上证180金融ETF,3665,2011-05-23,2026-06-26,14.54,0.05936435007221563,-0.06227470478558117,0.06730029950620886,0.2258281414018431,0.1743110926205159,-0.4555663385553861,0.13030890355170158,99158535.73333333
sh.510300,华泰柏瑞沪深300ETF,3420,2012-05-28,2026-06-26,13.57,0.060607284049785104,0.23786096256684486,0.08489538154971576,0.2084867953781079,0.19477149128864713,-0.44374769457764657,0.13658050462092056,4905246449.283334
sh.510310,易方达沪深300ETF,3219,2013-03-25,2026-06-26,12.77,0.07360104963236713,0.27967396841569014,0.10279287764121037,0.22179909464109054,0.24166487117137667,-0.4567843866171004,0.1611286457872371,2178952268.4
sh.510320,中金沪深300ETF,282,2025-04-25,2026-06-26,1.12,0.2815835291605848,0.2790697674418605,,0.14732832474874288,1.7755141762909161,-0.06998444790046662,4.023515761116798,31818904.333333332
sh.510330,华夏沪深300ETF,3262,2013-01-16,2026-06-26,12.94,0.06690161541266182,0.23690773067331672,0.08592275681457595,0.20545741909749649,0.22827900602803453,-0.4437534296689226,0.1507630385247412,1440759676.5
sh.510350,工银沪深300ETF,1660,2019-08-16,2026-06-26,6.59,0.06123197967159544,0.2729811496392833,0.09739750039600237,0.1818373105757068,0.22675203202826058,-0.41060398078242966,0.1491266099147757,23580968.15
sh.510360,广发沪深300ETF,2620,2015-09-09,2026-06-26,10.4,0.06220387332834987,0.2854195323246218,0.10188845239232869,0.19384672166234337,0.21771775641304736,-0.4099030117406841,0.15175266232906273,56072178.7
sh.510370,兴业沪深300ETF,1373,2020-10-27,2026-06-26,5.45,0.01762996867025568,0.2674418604651163,0.08771310875591243,0.17928464864979055,-0.01321937682670127,-0.42339373970345967,0.04163965362974785,5269155.7
sh.510390,平安沪深300ETF,2037,2018-01-26,2026-06-26,8.08,0.040961915425885786,0.26606656897634506,0.09575238914040107,0.18398445388947685,0.1139330795768105,-0.3780409731113957,0.10835311074552684,5647024.45
sh.510410,博时上证自然资源ETF,3430,2012-05-11,2026-06-26,13.61,0.04687804764606529,0.5232371794871795,0.19750728835485076,0.27722203219638863,0.09695494774753126,-0.5738775510204082,0.08168649838752487,28776048.016666666
sh.510500,南方中证500ETF,3223,2013-03-15,2026-06-26,12.79,0.09004620516279216,0.5163466528282306,0.14179105760589694,0.2618089677665483,0.26754700482701366,-0.6326219512195121,0.14233809779949796,4443120133.233334
sh.510510,广发中证500ETF,3180,2013-05-24,2026-06-26,12.62,0.0798869231021837,0.5391780821917809,0.15165749054774436,0.25804848840289857,0.2320762406818695,-0.648565257636532,0.12317484194775326,75249479.53333333
sh.510530,工银中证500ETF,1567,2020-01-03,2026-06-26,6.22,0.09973493315399495,0.5717769468379124,0.15583980311382306,0.217056689528766,0.3673461220066561,-0.39500258933195237,0.2524918465032635,5892228.75
sh.510580,易方达中证500ETF,2578,2015-09-14,2026-06-26,10.23,0.06650164524663582,0.5591234840132304,0.1582850989011928,0.2600154143920425,0.17884187887615846,-0.47496839443742106,0.1400127798511816,133055300.98333333
sh.510630,华夏消费ETF,3191,2013-05-08,2026-06-26,12.66,0.08817924481051831,-0.2191489361702127,-0.1290484421155691,0.2598656874659686,0.2623633980898186,-0.5638740344622698,0.15638110539104563,37433186.78333333
sh.510660,华夏医药ETF,3192,2013-05-08,2026-06-26,12.67,0.06110797307438265,-0.07597623089983019,-0.053817084842800345,0.2639181225282013,0.15576032703093362,-0.5498991935483871,0.1111257732168425,8870160.383333333
sh.510680,万家上证50ETF,2829,2013-12-02,2026-06-26,11.23,0.11263634840830972,0.12713675213675213,0.07063340743993374,0.30145663741425544,0.3072957663261226,-0.5445045045045045,0.20686026924755757,6454851.683333334
sh.510720,国泰上证国有企业红利ETF,513,2024-05-15,2026-06-26,2.04,0.0004896346409211105,-0.010837438423645263,,0.15444382983917243,-0.12632660935302945,-0.1260827718960538,0.003883438106236903,161363754.88333333
sh.510760,国泰上证综合交易ETF,1401,2020-09-09,2026-06-26,5.56,0.07247022077242504,0.17031630170316303,0.10448279080618073,0.14474627864320208,0.3624978912360402,-0.18637992831541222,0.38883060760589583,189118514.16666666
