ann,ann_sl,calmar,calmar_sl,cash_sw,dd,desc,dir_sw,n_trades,name,sharpe
0.43546518005372636,0.4096402002467423,1.873227469581004,1.6406232618875103,180,-0.2324678594165232,E5: st=0.08 sw=0.3 cool=5,182,364,U42_st0.08_sw0.3_cd5,1.469081004607924
0.4292401411284965,0.40449254768361165,1.6416791893043117,1.4553875000198977,212,-0.2614640813656132,E5: st=0.1 sw=0.0 cool=5,182,334,U42_st0.1_sw0.0_cd5,1.438393539927404
0.4358668950539324,0.40956819449758775,1.6378416580771764,1.4004886067999165,180,-0.26612273103716233,E5: st=0.12 sw=0.3 cool=5,182,348,U42_st0.12_sw0.3_cd5,1.42982401715102
0.44279020994864626,0.4164628368913674,1.6278619983894185,1.516529319874938,180,-0.2720072158369297,rt=1.3,182,352,U38_rt1.3,1.4649899935444088
0.4338422079439601,0.40833973257412937,1.6158880880414404,1.5069971691625677,180,-0.26848530610173915,E5: st=0.1 sw=0.2 cool=5,182,349,U42_st0.1_sw0.2_cd5,1.4470029987477822
0.4289569808416067,0.4032577007474629,1.604950528271798,1.4891593658451974,180,-0.2672711546464334,E5: st=0.1 sw=0.3 cool=3,182,345,U42_st0.1_sw0.3_cd3,1.4262244423344637
0.4360280615084129,0.40968388733315764,1.603001818046673,1.491844102246124,198,-0.2720072158369302,rt=1.8,182,363,U38_rt1.8,1.450868635662923
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,rt=1.5,182,349,U38_rt1.5,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,ft=0.0,182,349,U39_ft0.0,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,ft=0.1,182,349,U39_ft0.1,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,ft=0.2,182,349,U39_ft0.2,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,ft=0.3,182,349,U39_ft0.3,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,ft=0.5,182,349,U39_ft0.5,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,ft=0.8,182,349,U39_ft0.8,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,最少持有0天,182,349,U40_mh0,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,sl=0.002,182,349,U41_sl0.002,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,E5: st=0.1 sw=0.3 cool=5,182,349,U42_st0.1_sw0.3_cd5,1.4475609105780547
0.4359646498517087,0.4100872930605466,1.6027686931403795,1.4933130847319533,180,-0.27200721583692955,最优基线,182,349,U43_最优基线,1.4475609105780547
0.4362602082452429,0.41051867812228204,1.5994194091928968,1.4919836536035342,164,-0.272761606954232,rt=1.2,182,339,U38_rt1.2,1.4449885756989078
0.43489391791974796,0.40835236988688983,1.5988322831129267,1.460673013414903,204,-0.2720072158369291,sl=0.0025,182,368,U41_sl0.0025,1.4536021540107273
0.4246376865139716,0.3998008282919787,1.588789808147137,1.4588194464353728,180,-0.267271154646434,E5: st=0.1 sw=0.3 cool=8,182,344,U42_st0.1_sw0.3_cd8,1.41984587883808
0.43006386700589494,0.4036910425145659,1.5589874287954208,1.3512754056759964,206,-0.27586102303479854,rt=2.0,182,369,U38_rt2.0,1.4366826656233602
0.41693423949811925,0.39168888423845427,1.5328058052256754,1.335570582658914,162,-0.27200721583692977,sl=0.0015,182,338,U41_sl0.0015,1.3840944494755594
0.41907058246991546,0.3936047873804429,1.523991204578401,1.3212852537598558,146,-0.27498228415684833,sl=0.001,182,331,U41_sl0.001,1.383208067557259
0.41067005672356194,0.3845029735143357,1.5097763324402433,1.4001490199368978,214,-0.27200721583693005,sl=0.003,182,373,U41_sl0.003,1.3989071476837376
0.41180499561656747,0.38678974312530845,1.5097615834389184,1.3553815024765075,144,-0.2727616069542335,rt=1.0,182,327,U38_rt1.0,1.3720156381737874
0.40585969814625567,0.38098278339572356,1.4813795096616433,1.3785877899715049,176,-0.273974154157807,最少持有2天,182,342,U40_mh2,1.3664547179423479
0.40585969814625567,0.38098278339572356,1.4813795096616433,1.3785877899715049,176,-0.273974154157807,mh=2,182,342,U43_mh=2,1.3664547179423479
0.35556487769038925,0.33243918866060906,1.3790606187086343,1.1830944515051574,166,-0.2578312170376844,st=0.08 mh=3,182,344,U43_st=0.08 mh=3,1.253789535976667
0.3666198836855572,0.34288104598058466,1.3381549979141014,1.1727014931515338,164,-0.27397415415780646,rt=1.3 mh=3,182,331,U43_rt=1.3 mh=3,1.2642633614539593
0.34047921078956733,0.31996232975739436,1.3195015404491068,1.157335890835724,134,-0.25803623592108993,最少持有10天,182,288,U40_mh10,1.2389585547630342
0.3584819882379897,0.33529645621579807,1.308451847729794,1.1467611273996998,166,-0.2739741541578068,最少持有3天,182,328,U40_mh3,1.24275225462908
0.3584819882379897,0.33529645621579807,1.308451847729794,1.1467611273996998,166,-0.2739741541578068,mh=3,182,328,U43_mh=3,1.24275225462908
0.3584819882379897,0.33529645621579807,1.308451847729794,1.1467611273996998,166,-0.2739741541578068,ft=0.2 mh=3,182,328,U43_ft=0.2 mh=3,1.24275225462908
0.3584819882379897,0.33529645621579807,1.308451847729794,1.1467611273996998,166,-0.2739741541578068,ft=0 mh=3,182,328,U43_ft=0 mh=3,1.24275225462908
0.3466147767636696,0.32309378126887456,1.251865410205637,1.0761971589355792,166,-0.2768786276367626,dc=7 mh=3,176,334,U43_dc=7 mh=3,1.2100789502601168
0.3417304102777239,0.3206848101903019,1.2097506602482802,1.0588702249347735,146,-0.2824800361816622,最少持有7天,182,299,U40_mh7,1.2191245501298542
0.3417304102777239,0.3206848101903019,1.2097506602482802,1.0588702249347735,146,-0.2824800361816622,mh=7,182,299,U43_mh=7,1.2191245501298542
