timestamp,current,high,open,low,close,chg,percent,amount,volume,avg,date
2012-12-31,1000.0,,,,1000.0,,,,,,2012-12-31
2013-01-04,1000.6886,,,,1000.6886,0.6886,0.07%,,,,2013-01-04
2013-01-07,1006.4233,,,,1006.4233,5.7347,0.57%,,,,2013-01-07
2013-01-08,998.8736,,,,998.8736,-7.5497,-0.75%,,,,2013-01-08
2013-01-09,1000.4799,,,,1000.4799,1.6063,0.16%,,,,2013-01-09
2013-01-10,1003.9027,,,,1003.9027,3.4228,0.34%,,,,2013-01-10
2013-01-11,984.1628,,,,984.1628,-19.7399,-1.97%,,,,2013-01-11
2013-01-14,1017.4429,,,,1017.4429,33.2801,3.38%,,,,2013-01-14
2013-01-15,1023.0358,,,,1023.0358,5.5929,0.55%,,,,2013-01-15
2013-01-16,1007.8881,,,,1007.8881,-15.1477,-1.48%,,,,2013-01-16
2013-01-17,1006.145,,,,1006.145,-1.7431,-0.17%,,,,2013-01-17
2013-01-18,1026.7913,,,,1026.7913,20.6463,2.05%,,,,2013-01-18
2013-01-21,1036.7162,,,,1036.7162,9.9249,0.97%,,,,2013-01-21
2013-01-22,1028.6883,,,,1028.6883,-8.0279,-0.77%,,,,2013-01-22
2013-01-23,1028.6156,,,,1028.6156,-0.0727,-0.01%,,,,2013-01-23
2013-01-24,1016.8407,,,,1016.8407,-11.7749,-1.14%,,,,2013-01-24
2013-01-25,1010.2773,,,,1010.2773,-6.5634,-0.65%,,,,2013-01-25
2013-01-28,1040.5516,,,,1040.5516,30.2743,3.00%,,,,2013-01-28
2013-01-29,1049.0071,,,,1049.0071,8.4555,0.81%,,,,2013-01-29
2013-01-30,1058.2522,,,,1058.2522,9.2451,0.88%,,,,2013-01-30
2013-01-31,1050.5158,,,,1050.5158,-7.7364,-0.73%,,,,2013-01-31
2013-02-01,1063.4294,,,,1063.4294,12.9136,1.23%,,,,2013-02-01
2013-02-04,1056.8713,,,,1056.8713,-6.5581,-0.62%,,,,2013-02-04
2013-02-05,1076.0728,,,,1076.0728,19.2015,1.82%,,,,2013-02-05
2013-02-06,1069.1183,,,,1069.1183,-6.9545,-0.65%,,,,2013-02-06
2013-02-07,1070.4891,,,,1070.4891,1.3708,0.13%,,,,2013-02-07
2013-02-08,1086.4914,,,,1086.4914,16.0023,1.49%,,,,2013-02-08
2013-02-18,1080.3989,,,,1080.3989,-6.0925,-0.56%,,,,2013-02-18
2013-02-19,1051.2211,,,,1051.2211,-29.1778,-2.70%,,,,2013-02-19
2013-02-20,1062.9792,,,,1062.9792,11.7581,1.12%,,,,2013-02-20
2013-02-21,1027.6333,,,,1027.6333,-35.3459,-3.33%,,,,2013-02-21
2013-02-22,1021.5693,,,,1021.5693,-6.064,-0.59%,,,,2013-02-22
2013-02-25,1023.8613,,,,1023.8613,2.292,0.22%,,,,2013-02-25
2013-02-26,1004.9815,,,,1004.9815,-18.8798,-1.84%,,,,2013-02-26
2013-02-27,1016.6353,,,,1016.6353,11.6538,1.16%,,,,2013-02-27
2013-02-28,1048.7077,,,,1048.7077,32.0724,3.15%,,,,2013-02-28
2013-03-01,1050.178,,,,1050.178,1.4703,0.14%,,,,2013-03-01
2013-03-04,1000.7594,,,,1000.7594,-49.4186,-4.71%,,,,2013-03-04
2013-03-05,1015.4238,,,,1015.4238,14.6644,1.47%,,,,2013-03-05
2013-03-06,1026.8017,,,,1026.8017,11.3779,1.12%,,,,2013-03-06
2013-03-07,1017.5906,,,,1017.5906,-9.2111,-0.90%,,,,2013-03-07
2013-03-08,1011.7046,,,,1011.7046,-5.886,-0.58%,,,,2013-03-08
2013-03-11,1009.2021,,,,1009.2021,-2.5025,-0.25%,,,,2013-03-11
2013-03-12,994.8899,,,,994.8899,-14.3122,-1.42%,,,,2013-03-12
2013-03-13,979.8736,,,,979.8736,-15.0163,-1.51%,,,,2013-03-13
2013-03-14,980.5028,,,,980.5028,0.6292,0.06%,,,,2013-03-14
2013-03-15,983.4346,,,,983.4346,2.9318,0.30%,,,,2013-03-15
2013-03-18,967.8659,,,,967.8659,-15.5687,-1.58%,,,,2013-03-18
2013-03-19,974.2114,,,,974.2114,6.3455,0.66%,,,,2013-03-19
2013-03-20,999.6311,,,,999.6311,25.4197,2.61%,,,,2013-03-20
2013-03-21,1001.7324,,,,1001.7324,2.1013,0.21%,,,,2013-03-21
2013-03-22,1006.3254,,,,1006.3254,4.593,0.46%,,,,2013-03-22
2013-03-25,1000.2825,,,,1000.2825,-6.0429,-0.60%,,,,2013-03-25
2013-03-26,991.7208,,,,991.7208,-8.5617,-0.86%,,,,2013-03-26
2013-03-27,993.2982,,,,993.2982,1.5774,0.16%,,,,2013-03-27
2013-03-28,975.3783,,,,975.3783,-17.9199,-1.80%,,,,2013-03-28
2013-03-29,973.4616,,,,973.4616,-1.9167,-0.20%,,,,2013-03-29
2013-04-01,976.1963,,,,976.1963,2.7347,0.28%,,,,2013-04-01
2013-04-02,975.6438,,,,975.6438,-0.5525,-0.06%,,,,2013-04-02
2013-04-03,974.5244,,,,974.5244,-1.1194,-0.11%,,,,2013-04-03
2013-04-08,969.0355,,,,969.0355,-5.4889,-0.56%,,,,2013-04-08
2013-04-09,976.4227,,,,976.4227,7.3872,0.76%,,,,2013-04-09
2013-04-10,976.0233,,,,976.0233,-0.3994,-0.04%,,,,2013-04-10
2013-04-11,969.0085,,,,969.0085,-7.0148,-0.72%,,,,2013-04-11
2013-04-12,961.6371,,,,961.6371,-7.3714,-0.76%,,,,2013-04-12
2013-04-15,956.1563,,,,956.1563,-5.4808,-0.57%,,,,2013-04-15
2013-04-16,969.1325,,,,969.1325,12.9762,1.36%,,,,2013-04-16
2013-04-17,974.6255,,,,974.6255,5.493,0.57%,,,,2013-04-17
2013-04-18,977.1432,,,,977.1432,2.5177,0.26%,,,,2013-04-18
2013-04-19,995.573,,,,995.573,18.4298,1.89%,,,,2013-04-19
2013-04-22,987.3746,,,,987.3746,-8.1984,-0.82%,,,,2013-04-22
2013-04-23,957.9691,,,,957.9691,-29.4055,-2.98%,,,,2013-04-23
2013-04-24,972.5058,,,,972.5058,14.5367,1.52%,,,,2013-04-24
2013-04-25,961.482,,,,961.482,-11.0238,-1.13%,,,,2013-04-25
2013-04-26,955.0074,,,,955.0074,-6.4746,-0.67%,,,,2013-04-26
2013-05-02,951.4403,,,,951.4403,-3.5671,-0.37%,,,,2013-05-02
2013-05-03,966.0282,,,,966.0282,14.5879,1.53%,,,,2013-05-03
2013-05-06,977.6139,,,,977.6139,11.5857,1.20%,,,,2013-05-06
2013-05-07,985.4864,,,,985.4864,7.8725,0.81%,,,,2013-05-07
2013-05-08,988.4121,,,,988.4121,2.9257,0.30%,,,,2013-05-08
2013-05-09,979.9195,,,,979.9195,-8.4926,-0.86%,,,,2013-05-09
2013-05-10,987.3604,,,,987.3604,7.4409,0.76%,,,,2013-05-10
2013-05-13,981.2263,,,,981.2263,-6.1341,-0.62%,,,,2013-05-13
2013-05-14,963.7806,,,,963.7806,-17.4457,-1.78%,,,,2013-05-14
2013-05-15,967.2597,,,,967.2597,3.4791,0.36%,,,,2013-05-15
2013-05-16,979.4414,,,,979.4414,12.1817,1.26%,,,,2013-05-16
2013-05-17,995.773,,,,995.773,16.3316,1.67%,,,,2013-05-17
2013-05-20,1006.1248,,,,1006.1248,10.3518,1.04%,,,,2013-05-20
2013-05-21,1011.1776,,,,1011.1776,5.0528,0.50%,,,,2013-05-21
2013-05-22,1011.7021,,,,1011.7021,0.5245,0.05%,,,,2013-05-22
2013-05-23,997.8013,,,,997.8013,-13.9008,-1.37%,,,,2013-05-23
2013-05-24,999.8355,,,,999.8355,2.0342,0.20%,,,,2013-05-24
2013-05-27,996.561,,,,996.561,-3.2745,-0.33%,,,,2013-05-27
2013-05-28,1015.3127,,,,1015.3127,18.7517,1.88%,,,,2013-05-28
2013-05-29,1017.5662,,,,1017.5662,2.2535,0.22%,,,,2013-05-29
2013-05-30,1013.9916,,,,1013.9916,-3.5746,-0.35%,,,,2013-05-30
2013-05-31,1004.226,,,,1004.226,-9.7656,-0.96%,,,,2013-05-31
2013-06-03,1005.505,,,,1005.505,1.279,0.13%,,,,2013-06-03
2013-06-04,988.3107,,,,988.3107,-17.1943,-1.71%,,,,2013-06-04
2013-06-05,988.9885,,,,988.9885,0.6778,0.07%,,,,2013-06-05
2013-06-06,977.3239,,,,977.3239,-11.6646,-1.18%,,,,2013-06-06
2013-06-07,958.1944,,,,958.1944,-19.1295,-1.96%,,,,2013-06-07
2013-06-13,925.6279,,,,925.6279,-32.5665,-3.40%,,,,2013-06-13
2013-06-14,927.8738,,,,927.8738,2.2459,0.24%,,,,2013-06-14
2013-06-17,916.1142,,,,916.1142,-11.7596,-1.27%,,,,2013-06-17
2013-06-18,924.5174,,,,924.5174,8.4032,0.92%,,,,2013-06-18
2013-06-19,919.7426,,,,919.7426,-4.7748,-0.52%,,,,2013-06-19
2013-06-20,898.5051,,,,898.5051,-21.2375,-2.31%,,,,2013-06-20
2013-06-21,897.3448,,,,897.3448,-1.1603,-0.13%,,,,2013-06-21
2013-06-24,853.3718,,,,853.3718,-43.973,-4.90%,,,,2013-06-24
2013-06-25,850.0107,,,,850.0107,-3.3611,-0.39%,,,,2013-06-25
2013-06-26,851.1763,,,,851.1763,1.1656,0.14%,,,,2013-06-26
2013-06-27,849.8306,,,,849.8306,-1.3457,-0.16%,,,,2013-06-27
2013-06-28,861.8265,,,,861.8265,11.9959,1.41%,,,,2013-06-28
2013-07-01,861.3463,,,,861.3463,-0.4802,-0.06%,,,,2013-07-01
2013-07-02,860.9907,,,,860.9907,-0.3556,-0.04%,,,,2013-07-02
2013-07-03,857.0217,,,,857.0217,-3.969,-0.46%,,,,2013-07-03
2013-07-04,873.5575,,,,873.5575,16.5358,1.93%,,,,2013-07-04
2013-07-05,878.6681,,,,878.6681,5.1106,0.59%,,,,2013-07-05
2013-07-08,859.2222,,,,859.2222,-19.4459,-2.21%,,,,2013-07-08
2013-07-09,860.5031,,,,860.5031,1.2809,0.15%,,,,2013-07-09
2013-07-10,886.4234,,,,886.4234,25.9203,3.01%,,,,2013-07-10
2013-07-11,916.3346,,,,916.3346,29.9112,3.37%,,,,2013-07-11
2013-07-12,895.4124,,,,895.4124,-20.9222,-2.28%,,,,2013-07-12
2013-07-15,901.9097,,,,901.9097,6.4973,0.73%,,,,2013-07-15
2013-07-16,906.7548,,,,906.7548,4.8451,0.54%,,,,2013-07-16
2013-07-17,899.5249,,,,899.5249,-7.2299,-0.80%,,,,2013-07-17
2013-07-18,885.1098,,,,885.1098,-14.4151,-1.60%,,,,2013-07-18
2013-07-19,861.2654,,,,861.2654,-23.8444,-2.69%,,,,2013-07-19
2013-07-22,866.5841,,,,866.5841,5.3187,0.62%,,,,2013-07-22
2013-07-23,887.7009,,,,887.7009,21.1168,2.44%,,,,2013-07-23
2013-07-24,882.1397,,,,882.1397,-5.5612,-0.63%,,,,2013-07-24
2013-07-25,879.9153,,,,879.9153,-2.2244,-0.25%,,,,2013-07-25
2013-07-26,883.8747,,,,883.8747,3.9594,0.45%,,,,2013-07-26
2013-07-29,867.9542,,,,867.9542,-15.9205,-1.80%,,,,2013-07-29
2013-07-30,873.3361,,,,873.3361,5.3819,0.62%,,,,2013-07-30
2013-07-31,883.1169,,,,883.1169,9.7808,1.12%,,,,2013-07-31
2013-08-01,899.0379,,,,899.0379,15.921,1.80%,,,,2013-08-01
2013-08-02,902.3649,,,,902.3649,3.327,0.37%,,,,2013-08-02
2013-08-05,910.3072,,,,910.3072,7.9423,0.88%,,,,2013-08-05
2013-08-06,919.3779,,,,919.3779,9.0707,1.00%,,,,2013-08-06
2013-08-07,915.6787,,,,915.6787,-3.6992,-0.40%,,,,2013-08-07
2013-08-08,914.4886,,,,914.4886,-1.1901,-0.13%,,,,2013-08-08
2013-08-09,916.1095,,,,916.1095,1.6209,0.18%,,,,2013-08-09
2013-08-12,940.5395,,,,940.5395,24.43,2.67%,,,,2013-08-12
2013-08-13,938.8846,,,,938.8846,-1.6549,-0.18%,,,,2013-08-13
2013-08-14,939.2159,,,,939.2159,0.3313,0.04%,,,,2013-08-14
2013-08-15,937.9487,,,,937.9487,-1.2672,-0.13%,,,,2013-08-15
2013-08-16,930.9876,,,,930.9876,-6.9611,-0.74%,,,,2013-08-16
2013-08-19,939.0058,,,,939.0058,8.0182,0.86%,,,,2013-08-19
2013-08-20,933.4165,,,,933.4165,-5.5893,-0.60%,,,,2013-08-20
2013-08-21,930.6098,,,,930.6098,-2.8067,-0.30%,,,,2013-08-21
2013-08-22,928.6188,,,,928.6188,-1.991,-0.21%,,,,2013-08-22
2013-08-23,923.8968,,,,923.8968,-4.722,-0.51%,,,,2013-08-23
2013-08-26,943.7622,,,,943.7622,19.8654,2.15%,,,,2013-08-26
2013-08-27,947.9742,,,,947.9742,4.212,0.45%,,,,2013-08-27
2013-08-28,946.6312,,,,946.6312,-1.343,-0.14%,,,,2013-08-28
2013-08-29,945.0462,,,,945.0462,-1.585,-0.17%,,,,2013-08-29
2013-08-30,950.7405,,,,950.7405,5.6943,0.60%,,,,2013-08-30
2013-09-02,945.5653,,,,945.5653,-5.1752,-0.54%,,,,2013-09-02
2013-09-03,958.1933,,,,958.1933,12.628,1.34%,,,,2013-09-03
2013-09-04,959.0174,,,,959.0174,0.8241,0.09%,,,,2013-09-04
2013-09-05,957.002,,,,957.002,-2.0154,-0.21%,,,,2013-09-05
2013-09-06,964.4459,,,,964.4459,7.4439,0.78%,,,,2013-09-06
2013-09-09,984.1497,,,,984.1497,19.7038,2.04%,,,,2013-09-09
2013-09-10,1006.5504,,,,1006.5504,22.4007,2.28%,,,,2013-09-10
2013-09-11,1011.9505,,,,1011.9505,5.4001,0.54%,,,,2013-09-11
2013-09-12,1018.2107,,,,1018.2107,6.2602,0.62%,,,,2013-09-12
2013-09-13,1011.0336,,,,1011.0336,-7.1771,-0.70%,,,,2013-09-13
2013-09-16,1001.5251,,,,1001.5251,-9.5085,-0.94%,,,,2013-09-16
2013-09-17,982.011,,,,982.011,-19.5141,-1.95%,,,,2013-09-17
2013-09-18,984.1699,,,,984.1699,2.1589,0.22%,,,,2013-09-18
2013-09-23,999.9145,,,,999.9145,15.7446,1.60%,,,,2013-09-23
2013-09-24,993.2874,,,,993.2874,-6.6271,-0.66%,,,,2013-09-24
2013-09-25,994.1644,,,,994.1644,0.877,0.09%,,,,2013-09-25
2013-09-26,968.9621,,,,968.9621,-25.2023,-2.54%,,,,2013-09-26
2013-09-27,970.3702,,,,970.3702,1.4081,0.15%,,,,2013-09-27
2013-09-30,974.9045,,,,974.9045,4.5343,0.47%,,,,2013-09-30
2013-10-08,986.7058,,,,986.7058,11.8013,1.21%,,,,2013-10-08
2013-10-09,992.4976,,,,992.4976,5.7918,0.59%,,,,2013-10-09
2013-10-10,1000.4236,,,,1000.4236,7.926,0.80%,,,,2013-10-10
2013-10-11,1020.1292,,,,1020.1292,19.7056,1.97%,,,,2013-10-11
2013-10-14,1031.5279,,,,1031.5279,11.3987,1.12%,,,,2013-10-14
2013-10-15,1031.6753,,,,1031.6753,0.1474,0.01%,,,,2013-10-15
2013-10-16,1005.2415,,,,1005.2415,-26.4338,-2.56%,,,,2013-10-16
2013-10-17,999.5569,,,,999.5569,-5.6846,-0.57%,,,,2013-10-17
2013-10-18,1003.4093,,,,1003.4093,3.8524,0.39%,,,,2013-10-18
2013-10-21,1028.8538,,,,1028.8538,25.4445,2.54%,,,,2013-10-21
2013-10-22,1014.177,,,,1014.177,-14.6768,-1.43%,,,,2013-10-22
2013-10-23,998.1558,,,,998.1558,-16.0212,-1.58%,,,,2013-10-23
2013-10-24,1002.6292,,,,1002.6292,4.4734,0.45%,,,,2013-10-24
2013-10-25,982.8404,,,,982.8404,-19.7888,-1.97%,,,,2013-10-25
2013-10-28,985.8999,,,,985.8999,3.0595,0.31%,,,,2013-10-28
2013-10-29,981.1599,,,,981.1599,-4.74,-0.48%,,,,2013-10-29
2013-10-30,1004.1779,,,,1004.1779,23.018,2.35%,,,,2013-10-30
2013-10-31,996.8563,,,,996.8563,-7.3216,-0.73%,,,,2013-10-31
2013-11-01,1003.5943,,,,1003.5943,6.738,0.68%,,,,2013-11-01
2013-11-04,1009.7075,,,,1009.7075,6.1132,0.61%,,,,2013-11-04
2013-11-05,1008.7116,,,,1008.7116,-0.9959,-0.10%,,,,2013-11-05
2013-11-06,996.6717,,,,996.6717,-12.0399,-1.19%,,,,2013-11-06
2013-11-07,985.7783,,,,985.7783,-10.8934,-1.09%,,,,2013-11-07
