timestamp,current,high,open,low,close,chg,percent,amount,volume,avg,date
2012-12-31,1000.0,,,,1000.0,,,,,,2012-12-31
2013-01-04,988.5731,,,,988.5731,-11.4269,-1.14%,,,,2013-01-04
2013-01-07,996.4654,,,,996.4654,7.8923,0.80%,,,,2013-01-07
2013-01-08,1010.361,,,,1010.361,13.8956,1.39%,,,,2013-01-08
2013-01-09,1014.4593,,,,1014.4593,4.0983,0.41%,,,,2013-01-09
2013-01-10,1012.9224,,,,1012.9224,-1.5369,-0.15%,,,,2013-01-10
2013-01-11,995.8878,,,,995.8878,-17.0346,-1.68%,,,,2013-01-11
2013-01-14,1029.3059,,,,1029.3059,33.4181,3.36%,,,,2013-01-14
2013-01-15,1043.1305,,,,1043.1305,13.8246,1.34%,,,,2013-01-15
2013-01-16,1044.4879,,,,1044.4879,1.3574,0.13%,,,,2013-01-16
2013-01-17,1038.3274,,,,1038.3274,-6.1605,-0.59%,,,,2013-01-17
2013-01-18,1056.5417,,,,1056.5417,18.2143,1.75%,,,,2013-01-18
2013-01-21,1053.6793,,,,1053.6793,-2.8624,-0.27%,,,,2013-01-21
2013-01-22,1032.9458,,,,1032.9458,-20.7335,-1.97%,,,,2013-01-22
2013-01-23,1038.2486,,,,1038.2486,5.3028,0.51%,,,,2013-01-23
2013-01-24,1018.6478,,,,1018.6478,-19.6008,-1.89%,,,,2013-01-24
2013-01-25,1020.636,,,,1020.636,1.9882,0.20%,,,,2013-01-25
2013-01-28,1042.783,,,,1042.783,22.147,2.17%,,,,2013-01-28
2013-01-29,1050.9122,,,,1050.9122,8.1292,0.78%,,,,2013-01-29
2013-01-30,1053.7155,,,,1053.7155,2.8033,0.27%,,,,2013-01-30
2013-01-31,1052.8924,,,,1052.8924,-0.8231,-0.08%,,,,2013-01-31
2013-02-01,1058.7325,,,,1058.7325,5.8401,0.55%,,,,2013-02-01
2013-02-04,1044.3764,,,,1044.3764,-14.3561,-1.36%,,,,2013-02-04
2013-02-05,1060.501,,,,1060.501,16.1246,1.54%,,,,2013-02-05
2013-02-06,1066.6283,,,,1066.6283,6.1273,0.58%,,,,2013-02-06
2013-02-07,1075.7859,,,,1075.7859,9.1576,0.86%,,,,2013-02-07
2013-02-08,1092.4781,,,,1092.4781,16.6922,1.55%,,,,2013-02-08
2013-02-18,1091.8447,,,,1091.8447,-0.6334,-0.06%,,,,2013-02-18
2013-02-19,1068.3669,,,,1068.3669,-23.4778,-2.15%,,,,2013-02-19
2013-02-20,1090.1369,,,,1090.1369,21.77,2.04%,,,,2013-02-20
2013-02-21,1067.8409,,,,1067.8409,-22.296,-2.05%,,,,2013-02-21
2013-02-22,1066.0941,,,,1066.0941,-1.7468,-0.16%,,,,2013-02-22
2013-02-25,1076.8395,,,,1076.8395,10.7454,1.01%,,,,2013-02-25
2013-02-26,1064.8668,,,,1064.8668,-11.9727,-1.11%,,,,2013-02-26
2013-02-27,1067.9098,,,,1067.9098,3.043,0.29%,,,,2013-02-27
2013-02-28,1085.6176,,,,1085.6176,17.7078,1.66%,,,,2013-02-28
2013-03-01,1095.5175,,,,1095.5175,9.8999,0.91%,,,,2013-03-01
